# Rime user dictionary
#@/db_name	dicts
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	123714
#@/user_id	sync
a 	啊	c=217 d=2.80092 t=123714
bu dai 	不帶	c=5 d=0.204948 t=123714
bu dai biao 	不代表	c=1 d=1.45296e-13 t=123714
bu dao 	不倒	c=1 d=5.60089e-05 t=123714
bu dao 	不到	c=17 d=0.701173 t=123714
bu dao 	不道	c=1 d=4.98549e-18 t=123714
bu dao yi ding 	不到一定	c=1 d=6.04328e-17 t=123714
bu de 	不得	c=7 d=0.752014 t=123714
bu de bu 	不得不	c=2 d=3.06694e-08 t=123714
bu de jin 	不得勁	c=2 d=0.0977893 t=123714
bu de liao 	不得了	c=1 d=0.00152616 t=123714
bu deng 	不等	c=1 d=4.64607e-12 t=123714
bu deng lu 	不登錄	c=1 d=8.27945e-15 t=123714
bu deng yu 	不等於	c=1 d=1.07065e-09 t=123714
bu di 	不低	c=2 d=0.0337087 t=123714
bu diao 	不掉	c=1 d=1.8692e-06 t=123714
bu diao ku 	不調庫	c=1 d=0.000411789 t=123714
bu ding 	不定	c=1 d=1.48257e-15 t=123714
bu ding 	補丁	c=7 d=6.44256e-05 t=123714
bu ding shi 	不定時	c=3 d=5.81541e-06 t=123714
bu ding yi 	不定義	c=1 d=0.000611253 t=123714
bu ding yong 	不頂用	c=1 d=0.000493001 t=123714
bu dong 	不動	c=3 d=3.41705e-10 t=123714
bu dong 	不懂	c=1 d=6.1463e-10 t=123714
bu dong yao 	不動搖	c=2 d=0.00633389 t=123714
bu dou 	不都	c=4 d=0.97531 t=123714
bu dou 	布兜	c=2 d=0.128093 t=123714
bu dou shi 	不都是	c=2 d=0.308819 t=123714
bu dui 	不對	c=25 d=1.61108 t=123714
bu dui ba 	不對吧	c=1 d=4.15971e-64 t=123714
bu dui deng 	不對等	c=1 d=0.000490542 t=123714
bu dui fu 	不對付	c=1 d=6.02768e-16 t=123714
bu duo 	不多	c=3 d=0.0163259 t=123714
bu duo yu 	不多於	c=1 d=1.48899e-07 t=123714
bu er 	不二	c=1 d=0.0357931 t=123714
bu er 	布爾	c=1 d=0.0359725 t=123714
bu fa 	不發	c=1 d=0.255381 t=123714
bu fan hui 	不返回	c=1 d=0.0129068 t=123714
bu fang bian 	不方便	c=2 d=1.14314e-15 t=123714
bu fen 	部分	c=113 d=2.69477 t=123714
bu fen ne 	部分呢	c=1 d=6.11233e-33 t=123714
bu fen xiang 	部分想	c=1 d=0.449329 t=123714
bu fu he 	不符合	c=1 d=1.65868e-12 t=123714
bu gai bian 	不改變	c=1 d=1.00341e-40 t=123714
bu gan 	不敢	c=8 d=0.88692 t=123714
bu gan mao 	不感冒	c=1 d=8.74162e-07 t=123714
bu gan xing qu 	不感興趣	c=1 d=2.51707e-07 t=123714
bu gao 	不搞	c=2 d=1.12631e-17 t=123714
bu gao su ni 	不告訴你	c=1 d=1.12554e-09 t=123714
bu ge 	不個	c=1 d=0.0350844 t=123714
bu gei 	不給	c=1 d=7.77716e-14 t=123714
bu gei 	補給	c=1 d=7.73837e-14 t=123714
bu gei chu 	補給出	c=1 d=1.01315e-36 t=123714
bu gen 	不跟	c=2 d=0.000266536 t=123714
bu geng gai 	不更改	c=1 d=9.52008e-40 t=123714
bu gong dai tian 	不共戴天	c=2 d=0.800383 t=123714
bu gou 	不夠	c=21 d=1.67098 t=123714
bu gou hao 	不夠好	c=1 d=0.0395575 t=123714
bu gou yong 	不夠用	c=1 d=1.85218e-16 t=123714
bu gu 	不顧	c=1 d=1.03186e-16 t=123714
bu guan 	不管	c=4 d=0.0167797 t=123714
bu guan le 	不管了	c=1 d=0.168638 t=123714
bu guan xin 	不關心	c=1 d=6.08308e-06 t=123714
bu guan yong 	不管用	c=2 d=1.29502e-13 t=123714
bu gui zheng 	不規整	c=1 d=0.00794669 t=123714
bu guo 	不過	c=38 d=0.966987 t=123714
bu hao 	不好	c=17 d=0.666983 t=123714
bu hao 	補號	c=2 d=1.79749e-16 t=123714
bu hao ting 	不好聽	c=1 d=0.19398 t=123714
bu hao wan 	不好玩	c=2 d=0.729017 t=123714
bu hao xie 	不好寫	c=2 d=8.59363e-12 t=123714
bu hao yong 	不好用	c=6 d=0.565525 t=123714
bu hao zheng 	不好整	c=1 d=5.86567e-19 t=123714
bu he li 	不合理	c=1 d=4.05934e-12 t=123714
bu he shi 	不合適	c=0 d=2.48128e-16 t=123714
bu huan 	不換	c=1 d=4.82237e-09 t=123714
bu huang 	不慌	c=1 d=4.58874e-13 t=123714
bu hui 	不會	c=81 d=1.15777 t=123714
bu hui de 	不會的	c=3 d=0.00423234 t=123714
bu hui yong 	不會用	c=1 d=0.000978001 t=123714
bu hui zai 	不會在	c=1 d=3.41472e-07 t=123714
bu huo 	捕獲	c=5 d=0.00207555 t=123714
bu ji 	不急	c=3 d=0.94708 t=123714
bu ji 	不濟	c=0 d=8.80668e-07 t=123714
bu ji ge 	不及格	c=1 d=0.336216 t=123714
bu jia 	不加	c=5 d=0.83527 t=123714
bu jian 	不見	c=1 d=2.61259e-05 t=123714
bu jian 	部件	c=1 d=3.39007e-10 t=123714
bu jian rong 	不兼容	c=2 d=3.22583e-14 t=123714
bu jian yi 	不建議	c=3 d=0.000902809 t=123714
bu jiao 	補交	c=2 d=0.00381048 t=123714
bu jin 	不僅	c=5 d=0.191092 t=123714
bu jin qu 	不進去	c=0 d=1.87659e-24 t=123714
bu jing 	不經	c=1 d=6.03383e-28 t=123714
bu jing tong 	不精通	c=1 d=1.12688e-23 t=123714
bu jiu 	不久	c=6 d=0.514433 t=123714
bu jiu 	不就	c=3 d=0.51741 t=123714
bu jiu shi 	不就是	c=2 d=0.154896 t=123714
bu ju 	佈局	c=12 d=1.60278 t=123714
bu jue de 	不覺得	c=0 d=6.56914e-29 t=123714
bu ka 	不卡	c=1 d=5.17291e-11 t=123714
bu kai 	不開	c=1 d=0.13332 t=123714
bu kai fang 	不開放	c=2 d=0.621885 t=123714
bu kai yuan 	不開源	c=1 d=1.99575e-12 t=123714
bu kan 	不看	c=4 d=0.00227676 t=123714
bu kao 	補考	c=5 d=6.22203e-07 t=123714
bu kao lv 	不考慮	c=3 d=0.981081 t=123714
bu kao yan 	不考研	c=1 d=0.000265207 t=123714
bu ke 	不可	c=8 d=0.127808 t=123714
bu ke bian 	不可變	c=4 d=0.000139842 t=123714
bu ke chong ru 	不可重入	c=1 d=9.02319e-27 t=123714
bu ke jian 	不可見	c=1 d=0.000109455 t=123714
bu ke kao 	不可靠	c=2 d=3.55705e-28 t=123714
bu ke neng 	不可能	c=2 d=0.494326 t=123714
bu ke wei 	不可謂	c=1 d=1.47643e-25 t=123714
bu ke yi 	不可以	c=1 d=6.77749e-13 t=123714
bu ke yong 	不可用	c=1 d=2.32917e-06 t=123714
bu keng 	不坑	c=1 d=3.22748e-20 t=123714
bu lai 	不來	c=0 d=0.045612 t=123714
bu lai 	不賴	c=1 d=2.4617e-10 t=123714
bu lao 	卜老	c=1 d=8.29523e-08 t=123714
bu lei 	不累	c=1 d=5.17203e-09 t=123714
bu li jie 	不理解	c=1 d=1 t=120246
bu liao 	不了	c=10 d=0.918512 t=123714
bu liao jie 	不瞭解	c=2 d=0.00229965 t=123714
bu liao liao zhi 	不了了之	c=1 d=0.360595 t=123714
bu ling huo 	不靈活	c=1 d=4.18154e-08 t=123714
bu liu chang 	不流暢	c=2 d=0.449329 t=123714
bu ma 	補碼	c=3 d=0.516851 t=123714
bu man 	不慢	c=1 d=1.98478e-06 t=123714
bu man 	補滿	c=1 d=3.98655e-05 t=123714
bu mei guan 	不美觀	c=1 d=0.00129402 t=123714
bu miao 	不妙	c=2 d=2.07649e-08 t=123714
bu ming 	不明	c=1 d=1.14906e-17 t=123714
bu ming bai 	不明白	c=2 d=5.01918e-09 t=123714
bu ming xian 	不明顯	c=1 d=8.09593e-16 t=123714
bu ming xiang 	不冥想	c=1 d=8.05555e-16 t=123714
bu neng 	不能	c=113 d=2.21146 t=123714
bu neng yong 	不能用	c=2 d=1.26159e-10 t=123714
bu pa 	不怕	c=3 d=0.316637 t=123714
bu pei zhi 	不配置	c=1 d=4.9121e-20 t=123714
bu peng 	不碰	c=2 d=3.08179e-06 t=123714
bu pian yi 	不便宜	c=1 d=0.11475 t=123714
bu piao liang 	不漂亮	c=1 d=2.13493e-11 t=123714
bu qi 	不起	c=0 d=2.37662e-09 t=123714
bu qi guai 	不奇怪	c=1 d=1.39357e-22 t=123714
bu qi lai 	不起來	c=0 d=0.0279431 t=123714
bu qiang zhi 	不強制	c=1 d=6.51174e-13 t=123714
bu qing chu 	不清楚	c=3 d=1.28214e-16 t=123714
bu qing chu de 	不清楚的	c=1 d=4.75381e-17 t=123714
bu qu 	不去	c=2 d=8.30371e-20 t=123714
bu quan 	補全	c=14 d=2.29269 t=123714
bu que 	不缺	c=1 d=5.41101e-11 t=123714
bu que ding 	不確定	c=11 d=0.0800591 t=123714
bu ran 	不然	c=19 d=0.412714 t=123714
bu ran chu 	不然出	c=2 d=2.96214e-32 t=123714
bu rang 	不讓	c=3 d=0.00665368 t=123714
bu rang yong 	不讓用	c=1 d=0.0668703 t=123714
bu ren 	不忍	c=0 d=5.60757e-20 t=123714
bu ren shi 	不忍是	c=1 d=5.63567e-19 t=123714
bu ren wei 	不認爲	c=1 d=1.21908e-07 t=123714
bu rong yi 	不容易	c=4 d=1.17756 t=123714
bu ru 	不如	c=21 d=0.979613 t=123714
bu sha 	不傻	c=1 d=1.76155e-14 t=123714
bu shang 	不上	c=3 d=0.0209629 t=123714
bu shang ban 	不上班	c=1 d=0.0343896 t=123714
bu shang lai 	不上來	c=0 d=1.96263e-22 t=123714
bu shao 	不少	c=7 d=0.562705 t=123714
bu she de 	不捨得	c=1 d=1.10514e-29 t=123714
bu she jiao 	不社交	c=1 d=2.56216e-10 t=123714
bu shen 	不甚	c=1 d=0.0137049 t=123714
bu sheng 	不生	c=0 d=1.93171e-41 t=123714
bu sheng ji 	不升級	c=1 d=6.11461e-08 t=123714
bu sheng xiao 	不生效	c=8 d=0.166367 t=123714
bu shi 	不是	c=160 d=2.00741 t=123714
bu shi 	不適	c=2 d=6.21958e-08 t=123714
bu shi a 	不是啊	c=1 d=4.42023e-14 t=123714
bu shi fang 	不釋放	c=2 d=0.272551 t=123714
bu shi he 	不適合	c=1 d=0.00201931 t=123714
bu shi hua wei 	不是華爲	c=1 d=0.00708341 t=123714
bu shi ying 	不適應	c=1 d=0.0138427 t=123714
bu shi yong 	不適用	c=2 d=0.10435 t=123714
bu shou 	不受	c=2 d=0.238115 t=123714
bu shou 	不收	c=1 d=5.71191e-30 t=123714
bu shu 	步數	c=1 d=3.9387e-10 t=123714
bu shu 	部署	c=86 d=2.27702 t=123714
bu shu le 	部署了	c=1 d=4.59749e-06 t=123714
bu shu yu 	不屬於	c=1 d=2.71588e-19 t=123714
bu shua 	不刷	c=1 d=0.0309618 t=123714
bu shuang 	不爽	c=1 d=9.71437e-13 t=123714
bu shun yan 	不順眼	c=1 d=5.1117e-18 t=123714
bu shuo 	不說	c=5 d=0.0381267 t=123714
bu shuo hua 	不說話	c=1 d=4.23883e-21 t=123714
bu si 	不死	c=1 d=0.00311976 t=123714
bu suan 	不算	c=3 d=0.0699482 t=123714
bu ta 	不它	c=1 d=0.075774 t=123714
bu tai 	不太	c=22 d=0.379083 t=123714
bu tai dong 	不太懂	c=1 d=3.71059e-14 t=123714
bu tai hao 	不太好	c=6 d=5.2502e-09 t=123714
bu tai xing 	不泰興	c=1 d=1 t=123687
bu teng tong 	不疼痛	c=1 d=9.89176e-20 t=123714
bu tian jia 	不添加	c=1 d=3.04428e-09 t=123714
bu ting 	不停	c=4 d=1.70391e-05 t=123714
bu ting 	不聽	c=1 d=0.00559994 t=123714
bu tong 	不同	c=45 d=1.97531 t=123714
bu tong yi 	不統一	c=1 d=8.89822e-10 t=123714
bu tong yu 	不同於	c=1 d=7.44761e-34 t=123714
bu tou ming 	不透明	c=4 d=0.937067 t=123714
bu tu chu 	不突出	c=1 d=0.0273237 t=123714
bu wan 	不完	c=0 d=0.0271173 t=123714
bu wan 	不玩	c=2 d=0.0389686 t=123714
bu wan zheng 	不完整	c=9 d=0.946185 t=123714
bu wei 	不爲	c=1 d=7.48773e-09 t=123714
bu wei 	部位	c=2 d=2.21098e-11 t=123714
bu wen 	不穩	c=1 d=2.93398e-16 t=123714
bu xi 	不惜	c=0 d=1.8202e-18 t=123714
bu xi huan 	不喜歡	c=4 d=0.29523 t=123714
bu xi tong 	不系統	c=1 d=0.514274 t=123714
bu xi wang 	不希望	c=1 d=5.12319e-15 t=123714
bu xia qu 	不下去	c=0 d=0.02334 t=123714
bu xian 	不限	c=0 d=3.81218e-68 t=123714
bu xian 	佈線	c=1 d=0.000382034 t=123714
bu xian liang 	不限量	c=1 d=0.380983 t=123714
bu xian shi 	不現實	c=1 d=2.28025e-21 t=123714
bu xian shi 	不限時	c=1 d=3.83129e-67 t=123714
bu xian shi 	不顯示	c=4 d=0.913931 t=123714
bu xian xiang 	不現象	c=1 d=1.31077e-66 t=123714
bu xian yu 	不限於	c=3 d=0.108718 t=123714
bu xian zhi 	不限制	c=1 d=0.0902655 t=123714
bu xiang 	不像	c=1 d=0.0953692 t=123714
bu xiang 	不想	c=21 d=0.145879 t=123714
bu xiang deng 	不相登	c=1 d=2.20145e-19 t=123714
bu xiang gan 	不相干	c=1 d=5.60661e-17 t=123714
bu xiang mai 	不想買	c=1 d=0.740818 t=123714
bu xiang xie 	不想寫	c=1 d=6.54772e-19 t=123714
bu xiang xue 	不想學	c=1 d=5.97907e-09 t=123714
bu xiang yong 	不想用	c=1 d=3.25992e-20 t=123714
bu xiao xin 	不小心	c=1 d=1.30769e-09 t=123714
bu xie 	不寫	c=1 d=1.26336e-15 t=123714
bu xie 	補寫	c=3 d=6.00063e-14 t=123714
bu xie tiao 	不協調	c=1 d=1.36928e-21 t=123714
bu xin 	不信	c=2 d=7.08582e-07 t=123714
bu xing 	不行	c=46 d=1.42 t=123714
bu xing a 	不行啊	c=2 d=0.239309 t=123714
bu xing de 	不省得	c=1 d=1.87468e-11 t=123714
bu xing de shi 	不幸的是	c=1 d=1.65811e-08 t=123714
bu xing ge 	不行個	c=1 d=0.000602152 t=123714
bu xiu 	不朽	c=1 d=3.69397e-20 t=123714
bu xu yao 	不需要	c=9 d=0.722527 t=123714
bu xuan 	不選	c=1 d=1.67706e-24 t=123714
bu xue 	不學	c=1 d=1.43851e-13 t=123714
bu xue 	補血	c=1 d=1.43133e-13 t=123714
bu yao 	不要	c=59 d=0.995359 t=123714
bu yao qiu 	不要求	c=1 d=0.138761 t=123714
bu yao qu 	不要去	c=1 d=0.000169103 t=123714
bu yao yong 	不要用	c=3 d=1.44125e-06 t=123714
bu yi 	不宜	c=3 d=0.000274477 t=123714
bu yi dian 	不一點	c=1 d=2.35418e-14 t=123714
bu yi ding 	不一定	c=12 d=0.402524 t=123714
bu yi yan 	不一眼	c=1 d=0.0170774 t=123714
bu yi yang 	不一樣	c=10 d=1.79348 t=123714
bu yi zhi 	不一致	c=5 d=0.436049 t=123714
bu yin yong 	不引用	c=1 d=0.0270518 t=123714
bu ying 	不應	c=1 d=4.2286e-22 t=123714
bu ying gai 	不應該	c=8 d=0.574078 t=123714
bu yo gai 	不喲該	c=1 d=1.79219e-11 t=123714
bu yong 	不用	c=92 d=1.2462 t=123714
bu you hua 	不優化	c=1 d=0.00191125 t=123714
bu yu ju 	不踰矩	c=1 d=1.08141e-09 t=123714
bu yuan yi 	不願意	c=3 d=0.00018332 t=123714
bu yun xu 	不允許	c=1 d=2.38278e-09 t=123714
bu za 	不咋	c=2 d=0.0104621 t=123714
bu za 	不雜	c=5 d=0.0122161 t=123714
bu za chi 	不咋吃	c=1 d=4.56741e-17 t=123714
bu za di 	不咋地	c=2 d=0.120032 t=123714
bu za yong 	不咋用	c=2 d=1.18285e-05 t=123714
bu zai 	不再	c=12 d=1.17515 t=123714
bu zai 	不在	c=1 d=5.22296e-36 t=123714
bu zao 	不造	c=1 d=0.0596059 t=123714
bu zen me 	不怎麼	c=4 d=0.737123 t=123714
bu zhang 	部長	c=2 d=0.000150462 t=123714
bu zhe me 	不這麼	c=1 d=1.08587e-28 t=123714
bu zheng le 	不整了	c=1 d=6.29975e-06 t=123714
bu zhi 	不止	c=1 d=1 t=121733
bu zhi 	不知	c=4 d=1.14461 t=123714
bu zhi 	佈置	c=1 d=0.690734 t=123714
bu zhi chi 	不支持	c=17 d=0.847894 t=123714
bu zhi dao 	不知道	c=82 d=1.49045 t=123714
bu zhi de 	不值得	c=0 d=0.025284 t=123714
bu zhi ding 	不指定	c=1 d=0.00729913 t=123714
bu zhi jie 	不直接	c=1 d=0.00223168 t=123714
bu zhi ming 	不知名	c=1 d=0.941765 t=123714
bu zhi xing 	不執行	c=1 d=3.58919e-05 t=123714
bu zhi you 	不只有	c=1 d=3.42589e-16 t=123714
bu zhi you wu 	不知有無	c=1 d=0.226502 t=123714
bu zhi yu 	不至於	c=3 d=0.83527 t=123714
bu zhou 	步驟	c=9 d=0.148823 t=123714
bu zhou zhong 	步驟中	c=1 d=1 t=121112
bu zhu 	不住	c=0 d=0.00142642 t=123714
bu zhu 	補助	c=1 d=8.98612e-08 t=123714
bu zhuan huan 	不轉換	c=1 d=0.167797 t=123714
bu zhuang 	不裝	c=1 d=9.28059e-05 t=123714
bu zhun 	不準	c=3 d=0.923116 t=123714
bu zhun que 	不準確	c=2 d=0.416862 t=123714
bu zhuo 	捕捉	c=35 d=0.292293 t=123714
bu zu 	不足	c=4 d=0.83142 t=123714
bu zu yi 	不足以	c=1 d=5.08274e-10 t=123714
bu zuo 	不做	c=2 d=0.66365 t=123714
ca pi gu 	擦屁股	c=1 d=0.158817 t=123714
cai 	才	c=50 d=0.820589 t=123714
cai 	猜	c=2 d=0.60661 t=123714
cai 	菜	c=9 d=0.612626 t=123714
cai 	踩	c=3 d=0.000177774 t=123714
cai ce 	猜測	c=3 d=0.543367 t=123714
cai chu lai 	纔出來	c=2 d=0.375311 t=123714
cai da qi cu 	財大氣粗	c=1 d=5.60757e-19 t=123714
cai dan 	彩蛋	c=3 d=1.50936e-05 t=123714
cai dan 	菜單	c=22 d=0.276689 t=123714
cai dan lan 	菜單欄	c=2 d=0.000714216 t=123714
cai dao 	猜到	c=2 d=0.0251579 t=123714
cai dao le 	猜到了	c=1 d=0.25284 t=123714
cai fu 	財富	c=0 d=3.25659e-09 t=123714
cai fu zi you 	財富自由	c=1 d=3.27291e-08 t=123714
cai hao 	纔好	c=1 d=0.0561348 t=123714
cai hui 	纔會	c=10 d=0.0705213 t=123714
cai ji 	採集	c=2 d=1.45232 t=123714
cai jian 	裁剪	c=10 d=0.865022 t=123714
cai keng 	踩坑	c=2 d=2.6031e-20 t=123714
cai le 	踩了	c=2 d=1.43406e-06 t=123714
cai li 	財力	c=1 d=7.53167e-19 t=123714
cai liao 	材料	c=10 d=0.0183347 t=123714
cai mi 	猜謎	c=0 d=1.73591e-19 t=123714
cai mi yu 	猜謎語	c=1 d=1.74461e-18 t=123714
cai ming 	菜名	c=2 d=0.0306918 t=123714
cai ne ge 	才呢個	c=1 d=6.28884e-15 t=123714
cai neng 	才能	c=23 d=0.931438 t=123714
cai neng ne gai 	才能呢該	c=1 d=3.51812e-05 t=123714
cai niao 	菜鳥	c=4 d=0.882497 t=123714
cai pin 	菜品	c=88 d=1.42678 t=123714
cai ping 	彩屏	c=1 d=0.0246002 t=123714
cai se 	彩色	c=2 d=0.574072 t=123714
cai shi 	纔是	c=8 d=0.472442 t=123714
cai xiang 	猜想	c=1 d=3.28306e-15 t=123714
cai xing 	才行	c=1 d=6.23813e-08 t=123714
cai yong 	採用	c=3 d=0.0684074 t=123714
cai you 	纔有	c=2 d=0.346456 t=123714
cai zheng bu 	財政部	c=3 d=0.000227229 t=123714
cai zhi dao 	才知道	c=1 d=4.3417e-09 t=123714
can 	殘	c=1 d=0.113608 t=123714
can 	餐	c=1 d=2.63786e-29 t=123714
can dan 	慘淡	c=2 d=2.75364e-05 t=123714
can fei 	殘廢	c=1 d=0.000175127 t=123714
can jia 	參加	c=2 d=0.00012341 t=123714
can jian 	參見	c=8 d=0.0254765 t=123714
can ka 	殘卡	c=1 d=0.00305798 t=123714
can kan 	參看	c=1 d=3.48489e-11 t=123714
can kao 	參考	c=21 d=1.01063 t=123714
can sai 	參賽	c=1 d=1 t=119364
can shu 	參數	c=163 d=2.25216 t=123714
can shu biao 	參數表	c=2 d=6.6977e-41 t=123714
can shu liang 	參數量	c=1 d=3.54177e-25 t=123714
can ting 	餐廳	c=6 d=0.0983374 t=123714
can yu 	參與	c=9 d=0.119497 t=123714
cang 	倉	c=6 d=9.26976e-32 t=123714
cang ku 	倉庫	c=113 d=2.71551 t=123714
cang qiong 	蒼穹	c=0 d=5.46725e-16 t=123714
cang tou 	藏頭	c=1 d=4.41722e-06 t=123714
cao 	曹	c=1 d=0.0473589 t=123714
cao 	槽	c=9 d=0.00286544 t=123714
cao 	艹	c=1 d=2.06045e-05 t=123714
cao 	草	c=17 d=0.848436 t=123714
cao an 	草案	c=1 d=0.0639279 t=123714
cao di 	草地	c=2 d=4.80001e-06 t=123714
cao han shu 	槽函數	c=2 d=0.00018161 t=123714
cao kong 	操控	c=1 d=0.307279 t=123714
cao le 	草了	c=4 d=0.71177 t=123714
cao shuai 	草率	c=1 d=2.88284e-15 t=123714
cao tai 	草臺	c=2 d=0.419499 t=123714
cao tai ban zi 	草臺班子	c=1 d=3.36388e-07 t=123714
cao xue qin 	曹雪芹	c=1 d=0.737123 t=123714
cao zuo 	操作	c=184 d=2.68624 t=123714
cao zuo fu 	操作符	c=1 d=6.57718e-13 t=123714
cao zuo shu 	操作数	c=1 d=0.494109 t=123714
ce 	測	c=18 d=0.936776 t=123714
ce bian 	側邊	c=3 d=0.0944202 t=123714
ce bian lan 	側邊欄	c=4 d=1.16923 t=123714
ce ce 	測測	c=1 d=0.214381 t=123714
ce fan 	策反	c=2 d=3.89742e-21 t=123714
ce hui 	測繪	c=1 d=8.00149e-25 t=123714
ce le 	策勒	c=2 d=6.34664e-05 t=123714
ce lue 	策略	c=8 d=0.578969 t=123714
ce ping 	測評	c=2 d=6.03711e-05 t=123714
ce shi 	測試	c=129 d=3.26313 t=123714
ce shi guo 	測試過	c=1 d=6.20702e-08 t=123714
ce shi xia 	測試下	c=1 d=1.10668e-16 t=123714
ce su 	測速	c=7 d=0.694197 t=123714
ce suo 	廁所	c=1 d=0.0518189 t=123714
ce ya 	測壓	c=1 d=1.80958e-07 t=123714
ce yan 	測驗	c=3 d=4.7178e-07 t=123714
ce yi ci 	測一次	c=1 d=0.00744658 t=123714
ce zi 	冊子	c=1 d=0.000283018 t=123714
ceng 	層	c=11 d=0.0143357 t=123714
ceng 	蹭	c=1 d=4.39056e-23 t=123714
ceng ci 	層次	c=1 d=4.37476e-10 t=123714
ceng ji 	層級	c=2 d=0.618783 t=123714
ceng mian 	層面	c=1 d=0.0250972 t=123714
ceng shu 	層數	c=3 d=1.17024e-07 t=123714
cha 	叉	c=2 d=0.0620385 t=123714
cha 	差	c=6 d=0.377192 t=123714
cha 	查	c=10 d=0.69305 t=123714
cha bie 	差別	c=0 d=0.000174675 t=123714
cha bu duo 	差不多	c=10 d=0.0602056 t=123714
cha bu duo de 	差不多的	c=1 d=0.71177 t=123714
cha cha 	查查	c=4 d=9.29721e-10 t=123714
cha ci 	查詞	c=2 d=7.25138e-14 t=123714
cha dao 	查到	c=3 d=0.927743 t=123714
cha de 	差得	c=1 d=0.0450492 t=123714
cha dian 	差點	c=6 d=0.67368 t=123714
cha guan 	茶館	c=2 d=1.65806 t=123714
cha guo 	查過	c=1 d=0.0523397 t=123714
cha jian 	插件	c=47 d=5.25562 t=123714
cha jin qu 	插進去	c=1 d=0.0366992 t=123714
cha ju 	差距	c=1 d=0.000550326 t=123714
cha jun 	差均	c=1 d=0.000547581 t=123714
cha kan 	察看	c=1 d=2.88069e-65 t=123714
cha kan 	查看	c=93 d=5.79619 t=123714
cha kan na 	查看那	c=1 d=3.22748e-21 t=123714
cha kan ne 	查看呢	c=1 d=1.09981e-31 t=123714
cha le 	差了	c=4 d=1.09473e-06 t=123714
cha le 	查了	c=5 d=0.535219 t=123714
cha na 	剎那	c=0 d=0.1 t=121684
cha na ke neng 	剎那可能	c=1 d=1 t=121685
cha ru 	插入	c=53 d=1.72138 t=123714
cha ru shi 	插入時	c=1 d=2.32031e-20 t=123714
cha shang qu 	插上去	c=1 d=0.559898 t=123714
cha xun 	查詢	c=55 d=2.68622 t=123714
cha yi 	差異	c=1 d=1.26229e-05 t=123714
cha yi dian 	差一點	c=4 d=1.33245 t=123714
cha yi hua 	差異化	c=1 d=0.00348252 t=123714
cha yue 	查閱	c=3 d=0.61304 t=123714
cha zhao 	查找	c=29 d=2.33253 t=123714
cha zhi 	插值	c=1 d=1.52798e-17 t=123714
chai 	拆	c=3 d=0.000435464 t=123714
chai fen 	拆分	c=2 d=1.39239e-12 t=123714
chai le 	拆了	c=2 d=3.67967e-19 t=123714
chai na 	拆那	c=1 d=0.00733572 t=123714
chai xie 	拆卸	c=1 d=1.5865e-18 t=123714
chan 	摻	c=15 d=1.26144e-07 t=123714
chan 	纏	c=1 d=9.7362e-10 t=123714
chan chu 	產出	c=2 d=0.469615 t=123714
chan du 	產讀	c=1 d=0.000108909 t=123714
chan jia 	摻假	c=8 d=7.30074e-09 t=123714
chan kan 	產看	c=4 d=0.0159229 t=123714
chan ming 	闡明	c=1 d=1 t=123044
chan pin 	產品	c=5 d=1.3559 t=123714
chan quan 	產權	c=1 d=0.000267872 t=123714
chan shen 	纏身	c=1 d=4.65161e-26 t=123714
chan sheng 	產生	c=59 d=2.42989 t=123714
chan sheng ne gai 	產生呢該	c=1 d=1.14314e-15 t=123714
chan sheng shi 	產生式	c=2 d=0.0176857 t=123714
chan shui 	摻水	c=1 d=1.44971e-16 t=123714
chan tong 	產通	c=1 d=0.484325 t=123714
chan xun 	產尋	c=3 d=1.868e-09 t=123714
chang 	場	c=0 d=0.1 t=123254
chang 	廠	c=1 d=1.49259e-06 t=123714
chang 	長	c=27 d=0.67707 t=123714
chang an 	長按	c=14 d=0.170497 t=123714
chang bei 	常被	c=1 d=3.1256e-25 t=123714
chang chang 	常常	c=3 d=1.85988e-06 t=123714
chang du 	長度	c=35 d=0.340336 t=123714
chang duan 	長短	c=1 d=0.486752 t=123714
chang fang xing 	長方形	c=1 d=0.00477195 t=123714
chang jian 	常見	c=16 d=1.37948 t=123714
chang jian an 	常見按	c=1 d=1.2625e-07 t=123714
chang jie tu 	長截圖	c=2 d=0.0721308 t=123714
chang jing 	場景	c=27 d=2.74288 t=123714
chang jing xia 	場景下	c=1 d=1 t=120281
chang jiu 	長久	c=1 d=0.215456 t=123714
chang jiu ai 	長舊愛	c=1 d=3.78491e-12 t=123714
chang liang 	常量	c=18 d=0.850572 t=123714
chang qi 	長期	c=1 d=2.31755e-06 t=123714
chang shang 	廠商	c=6 d=0.0642483 t=123714
chang shi 	嘗試	c=21 d=0.0347171 t=123714
chang shi le 	嘗試了	c=1 d=0.0181334 t=123714
chang shu 	常數	c=1 d=0.00105417 t=123714
chang yi chang 	嚐一嚐	c=1 d=3.88667e-30 t=123714
chang yi dian 	長一點	c=1 d=1.8202e-17 t=123714
chang yong 	常用	c=43 d=0.460075 t=123714
chao 	抄	c=14 d=0.895834 t=123714
chao 	焯	c=4 d=0.240508 t=123714
chao 	超	c=7 d=1.85361 t=123714
chao chang 	超長	c=1 d=1.09757e-07 t=123714
chao che 	超車	c=1 d=0.704688 t=123714
chao chu 	超出	c=11 d=1.3072 t=123714
